symptoms,label
"intrusive thoughts,repetitive,organizing",OCD
"organizing,intrusive thoughts",OCD
"fear,nervous,avoidance",Anxiety
"organizing,cleaning,intrusive thoughts",OCD
"sweating,avoidance,fear,restless",Anxiety
"doubt,perfectionism,counting",OCD
"sensitive to sound,monotone,literal",Autism
"routine,no facial expression,monotone",Autism
"routine,eye contact,repetitive behavior",Autism
"routine,repetitive behavior,monotone",Autism
"intrusive thoughts,doubt",OCD
"doubt,cleaning,organizing,compulsion",OCD
"repetitive behavior,routine,literal,monotone",Autism
"sweating,trembling,worry,nervous,irritability",Anxiety
"routine,delayed speech",Autism
"literal,repetitive behavior",Autism
"fear,overthinking,panic,nervous",Anxiety
"irritability,worry",Anxiety
"repetitive,counting,perfectionism,cleaning",OCD
"organizing,cleaning,repetitive,perfectionism",OCD
"counting,repetitive",OCD
"avoidance,worry,irritability,restless,nervous",Anxiety
"worry,avoidance,restless,fear",Anxiety
"sensitive to sound,routine,literal,focus on details,eye contact",Autism
"literal,focus on details,routine,social skills",Autism
"ritual,compulsion",OCD
"overthinking,worry,trembling",Anxiety
"irritability,sweating,overthinking,panic,trembling",Anxiety
"focus on details,delayed speech",Autism
"sensitive to sound,delayed speech,eye contact,focus on details",Autism
"panic,nervous,overthinking,worry",Anxiety
"doubt,cleaning,repetitive",OCD
"monotone,focus on details",Autism
"sensitive to sound,focus on details,literal,monotone,no facial expression",Autism
"irritability,nervous",Anxiety
"eye contact,no facial expression,literal,sensitive to sound,focus on details",Autism
"avoidance,sweating",Anxiety
"eye contact,no facial expression,repetitive behavior,sensitive to sound",Autism
"repetitive behavior,social skills,routine",Autism
"cleaning,doubt,organizing,checking,repetitive",OCD
"panic,nervous",Anxiety
"repetitive,counting,organizing,perfectionism",OCD
"nervous,trembling,avoidance,overthinking,fear",Anxiety
"social skills,routine,eye contact,sensitive to sound",Autism
"no facial expression,routine",Autism
"cleaning,checking,counting,organizing,repetitive",OCD
"no facial expression,literal,delayed speech,monotone",Autism
"monotone,literal,eye contact,no facial expression,delayed speech",Autism
"delayed speech,no facial expression,routine,sensitive to sound,repetitive behavior",Autism
"avoidance,nervous,sweating",Anxiety
"routine,repetitive behavior,eye contact,focus on details,sensitive to sound",Autism
"repetitive behavior,no facial expression,monotone,sensitive to sound",Autism
"restless,avoidance,fear,trembling,panic",Anxiety
"fear,sweating,irritability",Anxiety
"trembling,avoidance",Anxiety
"nervous,worry,restless,sweating",Anxiety
"irritability,panic,restless,trembling",Anxiety
"checking,ritual,intrusive thoughts,organizing,counting",OCD
"avoidance,irritability,sweating",Anxiety
"no facial expression,delayed speech,repetitive behavior,focus on details,routine",Autism
"no facial expression,delayed speech,repetitive behavior,focus on details,social skills",Autism
"intrusive thoughts,perfectionism",OCD
"overthinking,fear",Anxiety
"repetitive,perfectionism,ritual",OCD
"organizing,perfectionism,compulsion,cleaning,ritual",OCD
"perfectionism,organizing,repetitive,ritual,compulsion",OCD
"irritability,fear,overthinking,sweating",Anxiety
"cleaning,ritual",OCD
"perfectionism,repetitive",OCD
"irritability,trembling",Anxiety
"compulsion,checking,ritual,cleaning,intrusive thoughts",OCD
"cleaning,counting,ritual,organizing,intrusive thoughts",OCD
"sensitive to sound,monotone,social skills",Autism
"repetitive behavior,eye contact,routine,delayed speech",Autism
"doubt,counting,compulsion,ritual",OCD
"routine,delayed speech,eye contact",Autism
"checking,perfectionism,cleaning,repetitive,organizing",OCD
"eye contact,literal,routine,sensitive to sound",Autism
"monotone,eye contact,no facial expression,sensitive to sound",Autism
"sweating,irritability",Anxiety
"counting,perfectionism,organizing",OCD
"sweating,worry,irritability,panic",Anxiety
"checking,organizing,compulsion,doubt,counting",OCD
"ritual,counting,organizing,doubt",OCD
"fear,avoidance,irritability,sweating,panic",Anxiety
"sensitive to sound,routine,delayed speech,eye contact",Autism
"counting,intrusive thoughts,doubt",OCD
"fear,avoidance,irritability,sweating,overthinking",Anxiety
"sweating,panic,fear",Anxiety
"overthinking,trembling",Anxiety
"overthinking,irritability,sweating,fear,nervous",Anxiety
"organizing,doubt,perfectionism",OCD
"overthinking,avoidance",Anxiety
"repetitive,cleaning,ritual",OCD
"cleaning,compulsion",OCD
"worry,nervous,overthinking,panic",Anxiety
"organizing,intrusive thoughts,ritual,repetitive,compulsion",OCD
"nervous,worry,panic,sweating",Anxiety
"nervous,avoidance,sweating",Anxiety
"overthinking,irritability,restless",Anxiety
"sweating,restless,fear,irritability",Anxiety
"social skills,routine,literal",Autism
"panic,nervous,avoidance,irritability",Anxiety
"intrusive thoughts,perfectionism",OCD
"literal,focus on details,delayed speech,sensitive to sound",Autism
"checking,ritual,counting",OCD
"routine,repetitive behavior,social skills",Autism
"irritability,avoidance,restless,trembling",Anxiety
"sweating,fear,nervous,irritability,overthinking",Anxiety
"worry,sweating",Anxiety
"literal,social skills",Autism
"no facial expression,repetitive behavior",Autism
"sweating,restless",Anxiety
"worry,irritability,fear",Anxiety
"sensitive to sound,repetitive behavior",Autism
"checking,intrusive thoughts,ritual,perfectionism",OCD
"intrusive thoughts,checking,counting",OCD
"routine,focus on details,social skills,eye contact,repetitive behavior",Autism
"counting,cleaning,compulsion,intrusive thoughts",OCD
"ritual,checking,compulsion,intrusive thoughts",OCD
"trembling,fear,worry,nervous,overthinking",Anxiety
"literal,routine,social skills,eye contact",Autism
"panic,nervous,irritability,sweating",Anxiety
"panic,restless,irritability,sweating",Anxiety
"focus on details,delayed speech,eye contact",Autism
"irritability,fear,worry",Anxiety
"repetitive behavior,sensitive to sound",Autism
"nervous,sweating,restless,avoidance,irritability",Anxiety
"organizing,ritual",OCD
"intrusive thoughts,repetitive",OCD
"cleaning,ritual,intrusive thoughts,counting",OCD
"perfectionism,compulsion",OCD
"monotone,focus on details,eye contact",Autism
"avoidance,restless",Anxiety
"doubt,checking,repetitive",OCD
"focus on details,repetitive behavior,sensitive to sound,no facial expression",Autism
"focus on details,social skills",Autism
"worry,fear,panic,irritability,trembling",Anxiety
"perfectionism,repetitive,compulsion,doubt",OCD
"delayed speech,routine,monotone,focus on details",Autism
"compulsion,intrusive thoughts,checking,doubt,organizing",OCD
"intrusive thoughts,repetitive,doubt",OCD
"overthinking,irritability,panic,worry,restless",Anxiety
"checking,doubt,organizing,cleaning,compulsion",OCD
"repetitive behavior,monotone,focus on details,eye contact,no facial expression",Autism
"cleaning,organizing,checking,counting",OCD
"avoidance,restless",Anxiety
"organizing,compulsion",OCD
"nervous,trembling,panic,worry",Anxiety
"doubt,intrusive thoughts",OCD
"focus on details,no facial expression,delayed speech",Autism
"delayed speech,eye contact,repetitive behavior,sensitive to sound,social skills",Autism
"repetitive,compulsion,intrusive thoughts,counting",OCD
"literal,focus on details,routine,social skills,repetitive behavior",Autism
"doubt,cleaning,ritual",OCD
"trembling,sweating,irritability,worry,restless",Anxiety
"trembling,restless,sweating,irritability",Anxiety
"counting,cleaning,checking,compulsion,doubt",OCD
"sensitive to sound,focus on details,repetitive behavior",Autism
"irritability,panic,avoidance,restless",Anxiety
"overthinking,nervous,fear,avoidance",Anxiety
"counting,cleaning,perfectionism,ritual,checking",OCD
"doubt,intrusive thoughts,ritual,repetitive",OCD
"sensitive to sound,no facial expression,monotone,literal",Autism
"sensitive to sound,social skills,monotone,eye contact,routine",Autism
"cleaning,doubt,checking,repetitive",OCD
"avoidance,panic",Anxiety
"routine,no facial expression,delayed speech,sensitive to sound",Autism
"panic,worry,avoidance,nervous,overthinking",Anxiety
"panic,nervous,restless",Anxiety
"restless,panic,trembling",Anxiety
"checking,cleaning,perfectionism,intrusive thoughts,organizing",OCD
"trembling,irritability",Anxiety
"nervous,restless,sweating",Anxiety
"nervous,trembling",Anxiety
"worry,irritability,nervous,overthinking,sweating",Anxiety
"trembling,sweating,worry",Anxiety
"avoidance,trembling,restless",Anxiety
"counting,compulsion,cleaning,checking,intrusive thoughts",OCD
"eye contact,focus on details,delayed speech,repetitive behavior",Autism
"delayed speech,sensitive to sound,social skills,no facial expression",Autism
"fear,overthinking",Anxiety
"nervous,worry,overthinking,restless,fear",Anxiety
"monotone,no facial expression,routine",Autism
"overthinking,trembling,irritability",Anxiety
"sweating,avoidance,fear,overthinking,trembling",Anxiety
"avoidance,nervous,overthinking,fear",Anxiety
"doubt,perfectionism,organizing,intrusive thoughts",OCD
"monotone,sensitive to sound",Autism
"doubt,counting",OCD
"repetitive behavior,social skills,eye contact,no facial expression",Autism
"irritability,fear,sweating",Anxiety
"literal,no facial expression,social skills,monotone",Autism
"cleaning,counting,checking",OCD
"sweating,panic,restless,nervous",Anxiety
"delayed speech,focus on details",Autism
"focus on details,routine,delayed speech",Autism
"perfectionism,compulsion,intrusive thoughts,doubt",OCD
"fear,restless",Anxiety
"worry,irritability",Anxiety
"eye contact,routine",Autism
"trembling,nervous,worry,sweating",Anxiety
"cleaning,perfectionism,intrusive thoughts",OCD
"repetitive behavior,delayed speech,sensitive to sound",Autism
"fear,overthinking",Anxiety
"restless,fear,sweating",Anxiety
"sweating,overthinking,panic",Anxiety
"restless,fear,trembling,nervous",Anxiety
"perfectionism,cleaning,counting,doubt",OCD
"trembling,avoidance,sweating,overthinking",Anxiety
"irritability,panic",Anxiety
"repetitive behavior,monotone,eye contact",Autism
"no facial expression,monotone",Autism
"monotone,literal,focus on details,eye contact,delayed speech",Autism
"monotone,focus on details",Autism
"compulsion,doubt,cleaning",OCD
"ritual,perfectionism,repetitive,counting,organizing",OCD
"doubt,organizing,perfectionism,repetitive",OCD
"doubt,ritual,cleaning",OCD
"perfectionism,compulsion,counting,repetitive",OCD
"repetitive behavior,eye contact",Autism
"repetitive behavior,social skills",Autism
"checking,repetitive,counting",OCD
"ritual,counting",OCD
"sensitive to sound,focus on details,routine",Autism
"social skills,repetitive behavior,focus on details,literal",Autism
"no facial expression,literal,delayed speech,monotone",Autism
"perfectionism,ritual,intrusive thoughts",OCD
"nervous,restless",Anxiety
"cleaning,counting",OCD
"fear,panic",Anxiety
"fear,nervous,overthinking,worry",Anxiety
"compulsion,intrusive thoughts",OCD
"counting,compulsion",OCD
"literal,eye contact,no facial expression",Autism
"checking,cleaning,ritual",OCD
"trembling,irritability,fear,avoidance,nervous",Anxiety
"compulsion,counting,intrusive thoughts",OCD
"focus on details,eye contact,literal",Autism
"literal,routine",Autism
"intrusive thoughts,ritual,cleaning,organizing",OCD
"ritual,perfectionism,organizing",OCD
"monotone,no facial expression,focus on details",Autism
"focus on details,monotone",Autism
"literal,eye contact,routine",Autism
"no facial expression,routine,focus on details",Autism
"doubt,cleaning,checking,repetitive,organizing",OCD
"organizing,ritual,cleaning,checking",OCD
"compulsion,organizing,repetitive,perfectionism",OCD
"panic,avoidance",Anxiety
"cleaning,organizing,repetitive,perfectionism,ritual",OCD
"literal,social skills",Autism
"intrusive thoughts,perfectionism,counting",OCD
"delayed speech,sensitive to sound,repetitive behavior",Autism
"intrusive thoughts,repetitive,compulsion,counting,checking",OCD
"eye contact,sensitive to sound",Autism
"doubt,intrusive thoughts",OCD
"ritual,perfectionism,repetitive,compulsion",OCD
"repetitive,doubt",OCD
"sensitive to sound,social skills,monotone,no facial expression",Autism
"social skills,monotone,focus on details,no facial expression",Autism
"fear,panic",Anxiety
"literal,delayed speech",Autism
"overthinking,irritability,panic,trembling",Anxiety
"routine,focus on details,eye contact,repetitive behavior,literal",Autism
"organizing,perfectionism,doubt,repetitive",OCD
"monotone,social skills",Autism
"avoidance,restless,fear,sweating,nervous",Anxiety
"intrusive thoughts,cleaning,ritual,perfectionism",OCD
"trembling,avoidance,nervous,worry,restless",Anxiety
"literal,social skills,monotone,routine,repetitive behavior",Autism
"literal,sensitive to sound,monotone,eye contact",Autism
"overthinking,fear,trembling,nervous,avoidance",Anxiety
"repetitive,cleaning,organizing",OCD
"panic,nervous,avoidance",Anxiety
"ritual,organizing,cleaning,repetitive,compulsion",OCD
"focus on details,repetitive behavior,sensitive to sound,eye contact",Autism
"sensitive to sound,delayed speech,repetitive behavior,monotone",Autism
"compulsion,checking",OCD
"fear,nervous,avoidance",Anxiety
"cleaning,counting,repetitive,intrusive thoughts,checking",OCD
"social skills,no facial expression,sensitive to sound,routine,focus on details",Autism
"social skills,literal",Autism
"avoidance,fear,restless,irritability",Anxiety
"perfectionism,doubt,compulsion,repetitive,organizing",OCD
"intrusive thoughts,repetitive,counting,ritual",OCD
"delayed speech,monotone,social skills",Autism
"checking,intrusive thoughts",OCD
"sweating,restless,fear,nervous,irritability",Anxiety
"repetitive behavior,literal,social skills,routine",Autism
"sweating,trembling,fear",Anxiety
"compulsion,perfectionism,doubt,intrusive thoughts,repetitive",OCD
"trembling,restless,worry,overthinking",Anxiety
"repetitive,checking,cleaning,perfectionism,doubt",OCD
"trembling,sweating,restless,fear,overthinking",Anxiety
"irritability,nervous",Anxiety
"repetitive,doubt,compulsion,ritual",OCD
"perfectionism,organizing",OCD
"repetitive behavior,social skills,focus on details,eye contact",Autism
"literal,eye contact,sensitive to sound,no facial expression,routine",Autism
"compulsion,intrusive thoughts,repetitive",OCD
"sensitive to sound,eye contact,routine",Autism
"intrusive thoughts,compulsion,counting,checking",OCD
"monotone,social skills,repetitive behavior,routine",Autism
"no facial expression,sensitive to sound,focus on details,eye contact",Autism
"focus on details,literal,monotone",Autism
"sweating,fear,trembling",Anxiety
"irritability,trembling,nervous",Anxiety
"sensitive to sound,focus on details",Autism
"avoidance,trembling,panic,fear",Anxiety
"trembling,worry,fear,panic,irritability",Anxiety
"focus on details,monotone,literal,routine,eye contact",Autism
"avoidance,restless,irritability,worry",Anxiety
"fear,overthinking,avoidance,restless,trembling",Anxiety
"doubt,repetitive,checking,compulsion",OCD
"compulsion,checking",OCD
"delayed speech,repetitive behavior,eye contact",Autism
"sweating,restless",Anxiety
"fear,restless,panic,sweating",Anxiety
"checking,counting,doubt,compulsion",OCD
"sensitive to sound,focus on details,repetitive behavior,eye contact,social skills",Autism
"sweating,restless,trembling,panic,fear",Anxiety
"social skills,routine,monotone,no facial expression",Autism
"repetitive behavior,eye contact",Autism
"checking,intrusive thoughts,counting",OCD
"routine,focus on details",Autism
"overthinking,nervous",Anxiety
"organizing,intrusive thoughts,checking,cleaning,ritual",OCD
"ritual,checking,repetitive",OCD
"social skills,focus on details,sensitive to sound",Autism
"focus on details,delayed speech,routine",Autism
"delayed speech,monotone,literal,sensitive to sound,social skills",Autism
"delayed speech,monotone,routine",Autism
"nervous,sweating,trembling,overthinking",Anxiety
"sensitive to sound,delayed speech",Autism
"intrusive thoughts,checking,repetitive,counting",OCD
"sweating,irritability,restless,worry,overthinking",Anxiety
"organizing,intrusive thoughts,repetitive,compulsion,perfectionism",OCD
"counting,checking,perfectionism,intrusive thoughts,cleaning",OCD
"overthinking,panic,irritability,nervous",Anxiety
"monotone,delayed speech,focus on details,social skills,routine",Autism
"repetitive behavior,focus on details",Autism
"perfectionism,checking,compulsion,doubt,cleaning",OCD
"routine,sensitive to sound,monotone,repetitive behavior,no facial expression",Autism
"sensitive to sound,monotone",Autism
"routine,focus on details",Autism
"nervous,trembling,sweating",Anxiety
"intrusive thoughts,ritual,repetitive,checking,cleaning",OCD
"irritability,panic,avoidance,overthinking",Anxiety
"irritability,trembling,worry,sweating",Anxiety
"worry,panic,trembling,fear,irritability",Anxiety
"eye contact,social skills,focus on details,monotone,no facial expression",Autism
"counting,cleaning,perfectionism,doubt,compulsion",OCD
"eye contact,monotone,no facial expression,focus on details,literal",Autism
"doubt,perfectionism,organizing,repetitive",OCD
"sweating,irritability,overthinking",Anxiety
"ritual,cleaning,counting,perfectionism",OCD
"avoidance,restless,nervous,fear",Anxiety
"perfectionism,intrusive thoughts,doubt",OCD
"literal,eye contact,monotone,sensitive to sound,social skills",Autism
"restless,overthinking",Anxiety
"repetitive,ritual",OCD
"repetitive behavior,delayed speech,monotone,social skills,sensitive to sound",Autism
"avoidance,worry,sweating,fear,trembling",Anxiety
"routine,monotone,social skills",Autism
"no facial expression,literal,routine,monotone,repetitive behavior",Autism
"monotone,repetitive behavior,literal,eye contact",Autism
"routine,no facial expression,focus on details,monotone,sensitive to sound",Autism
"irritability,fear,overthinking,avoidance",Anxiety
"delayed speech,social skills,eye contact,no facial expression,repetitive behavior",Autism
"perfectionism,doubt",OCD
"doubt,repetitive,ritual,cleaning,perfectionism",OCD
"literal,focus on details,delayed speech,social skills,sensitive to sound",Autism
"repetitive,perfectionism,doubt,checking",OCD
"perfectionism,organizing,repetitive",OCD
"compulsion,counting,repetitive,intrusive thoughts",OCD
"doubt,organizing,ritual,repetitive,compulsion",OCD
"no facial expression,routine",Autism
"fear,trembling,restless,nervous,worry",Anxiety
"intrusive thoughts,organizing,doubt",OCD
"irritability,sweating,overthinking,trembling",Anxiety
"overthinking,fear,restless",Anxiety
"repetitive,intrusive thoughts,organizing,doubt",OCD
"compulsion,intrusive thoughts,organizing,doubt",OCD
"nervous,avoidance,worry",Anxiety
"no facial expression,eye contact,social skills,sensitive to sound,monotone",Autism
"monotone,social skills,sensitive to sound,delayed speech",Autism
"repetitive behavior,sensitive to sound,monotone,literal,no facial expression",Autism
"trembling,nervous,sweating",Anxiety
"checking,counting,repetitive,perfectionism",OCD
"sweating,panic",Anxiety
"compulsion,counting,cleaning",OCD
"cleaning,organizing,repetitive,counting,checking",OCD
"checking,repetitive",OCD
"repetitive behavior,literal,routine",Autism
"routine,sensitive to sound,eye contact,no facial expression",Autism
"nervous,worry,irritability,sweating,panic",Anxiety
"fear,restless,panic,irritability,avoidance",Anxiety
"restless,nervous,panic,worry,fear",Anxiety
"eye contact,delayed speech",Autism
"checking,doubt",OCD
"no facial expression,social skills,literal,eye contact",Autism
"trembling,irritability,restless,worry",Anxiety
"perfectionism,organizing,doubt,cleaning",OCD
"monotone,sensitive to sound,delayed speech,repetitive behavior,focus on details",Autism
"panic,irritability,trembling,overthinking",Anxiety
"repetitive behavior,monotone,eye contact,sensitive to sound",Autism
"worry,restless,fear,overthinking,nervous",Anxiety
"panic,fear,trembling,avoidance",Anxiety
"overthinking,sweating,trembling",Anxiety
"worry,sweating,overthinking,nervous,irritability",Anxiety
"eye contact,repetitive behavior",Autism
"avoidance,trembling,fear,nervous",Anxiety
"monotone,routine,eye contact,focus on details,delayed speech",Autism
"focus on details,literal,repetitive behavior,routine",Autism
"compulsion,intrusive thoughts,perfectionism",OCD
"intrusive thoughts,perfectionism,compulsion,repetitive",OCD
"fear,panic,sweating",Anxiety
"avoidance,sweating",Anxiety
"counting,perfectionism,ritual,doubt,cleaning",OCD
"avoidance,irritability,worry,nervous",Anxiety
"doubt,ritual,counting,perfectionism",OCD
"panic,nervous,restless,trembling,worry",Anxiety
"sweating,overthinking",Anxiety
"perfectionism,repetitive,cleaning,counting,compulsion",OCD
"panic,worry,restless",Anxiety
"restless,sweating,fear",Anxiety
"sensitive to sound,eye contact,repetitive behavior,literal,monotone",Autism
"ritual,repetitive",OCD
"doubt,compulsion,ritual",OCD
"overthinking,panic,sweating",Anxiety
"ritual,organizing,compulsion,perfectionism,doubt",OCD
"repetitive,perfectionism",OCD
"fear,worry,nervous",Anxiety
"restless,trembling,nervous,worry",Anxiety
"repetitive behavior,focus on details,monotone,routine",Autism
"overthinking,irritability",Anxiety
"repetitive behavior,literal,routine",Autism
"restless,fear",Anxiety
"irritability,restless,fear",Anxiety
"compulsion,cleaning,checking",OCD
"literal,social skills,monotone",Autism
"repetitive,perfectionism",OCD
"checking,perfectionism,cleaning",OCD
"counting,ritual,checking",OCD
"ritual,counting,cleaning",OCD
"worry,sweating,fear,panic,trembling",Anxiety
"nervous,restless,sweating",Anxiety
"compulsion,doubt,cleaning,intrusive thoughts,perfectionism",OCD
"avoidance,fear,panic,restless",Anxiety
"irritability,fear,nervous",Anxiety
"trembling,panic,nervous,overthinking",Anxiety
"trembling,irritability,worry,panic,fear",Anxiety
"doubt,repetitive",OCD
"focus on details,routine,delayed speech",Autism
"irritability,trembling,sweating",Anxiety
"irritability,trembling",Anxiety
"no facial expression,social skills,sensitive to sound",Autism
"restless,sweating,panic",Anxiety
"literal,sensitive to sound,no facial expression",Autism
"compulsion,cleaning,counting,repetitive",OCD
"worry,overthinking",Anxiety
"focus on details,no facial expression",Autism
"routine,focus on details,monotone,social skills",Autism
"irritability,restless,sweating,nervous",Anxiety
"avoidance,sweating",Anxiety
"perfectionism,counting,ritual,repetitive",OCD
"literal,repetitive behavior,no facial expression,eye contact",Autism
"trembling,irritability,nervous",Anxiety
"fear,worry,avoidance,panic,trembling",Anxiety
"intrusive thoughts,cleaning",OCD
"sweating,avoidance",Anxiety
"doubt,intrusive thoughts",OCD
"overthinking,trembling,panic",Anxiety
"overthinking,avoidance",Anxiety
"counting,organizing,checking,doubt,ritual",OCD
"nervous,sweating,worry,avoidance",Anxiety
"nervous,fear,restless,sweating,overthinking",Anxiety
"restless,trembling,irritability,sweating,avoidance",Anxiety
"focus on details,social skills,repetitive behavior",Autism
"counting,cleaning",OCD
"social skills,literal",Autism
"monotone,eye contact,repetitive behavior,no facial expression",Autism
"cleaning,perfectionism,repetitive,intrusive thoughts,counting",OCD
"delayed speech,social skills,literal,routine,repetitive behavior",Autism
"checking,counting,repetitive",OCD
"no facial expression,focus on details",Autism
"eye contact,monotone,delayed speech",Autism
"irritability,avoidance,sweating,nervous",Anxiety
"perfectionism,organizing,ritual,repetitive,counting",OCD
"sweating,avoidance,irritability",Anxiety
"avoidance,sweating,fear,nervous,restless",Anxiety
"intrusive thoughts,repetitive",OCD
"avoidance,nervous",Anxiety
"eye contact,monotone,delayed speech,social skills,focus on details",Autism
"cleaning,perfectionism",OCD
"routine,social skills,literal,eye contact",Autism
"checking,organizing,counting,cleaning",OCD
"sensitive to sound,literal,routine",Autism
"restless,nervous,overthinking,fear",Anxiety
"eye contact,delayed speech,sensitive to sound,literal,focus on details",Autism
"intrusive thoughts,perfectionism",OCD
"literal,no facial expression",Autism
"irritability,overthinking",Anxiety
"literal,routine",Autism
"routine,literal,no facial expression",Autism
"doubt,intrusive thoughts,perfectionism",OCD
"organizing,cleaning",OCD
"social skills,monotone,delayed speech,no facial expression",Autism
"avoidance,overthinking,irritability,trembling,worry",Anxiety
"intrusive thoughts,repetitive,compulsion",OCD
"delayed speech,focus on details,literal,eye contact,sensitive to sound",Autism
"routine,sensitive to sound,delayed speech,literal,monotone",Autism
"irritability,avoidance,trembling,sweating,overthinking",Anxiety
"repetitive,compulsion,organizing",OCD
"repetitive behavior,routine,eye contact,literal,sensitive to sound",Autism
"literal,eye contact,delayed speech,sensitive to sound,social skills",Autism
"cleaning,doubt",OCD
"ritual,repetitive,perfectionism",OCD
"social skills,delayed speech,monotone,eye contact,no facial expression",Autism
"organizing,repetitive,doubt,counting,intrusive thoughts",OCD
"focus on details,eye contact",Autism
"eye contact,no facial expression,monotone,routine,social skills",Autism
"intrusive thoughts,organizing,ritual,repetitive,compulsion",OCD
"overthinking,irritability",Anxiety
"ritual,perfectionism",OCD
"repetitive behavior,sensitive to sound",Autism
"fear,nervous,sweating,panic",Anxiety
"literal,routine,focus on details,no facial expression,monotone",Autism
"nervous,overthinking",Anxiety
"eye contact,focus on details,sensitive to sound,delayed speech",Autism
"routine,delayed speech,repetitive behavior",Autism
"checking,doubt,perfectionism,counting",OCD
"worry,overthinking",Anxiety
"no facial expression,monotone,sensitive to sound,eye contact",Autism
"avoidance,panic",Anxiety
"repetitive behavior,no facial expression,eye contact,focus on details,routine",Autism
"monotone,eye contact,sensitive to sound,social skills",Autism
"panic,restless,overthinking",Anxiety
"doubt,cleaning",OCD
"repetitive behavior,routine,sensitive to sound,literal",Autism
"worry,restless,fear",Anxiety
"repetitive behavior,routine,eye contact,sensitive to sound",Autism
"nervous,overthinking,fear",Anxiety
"delayed speech,literal,social skills",Autism
"eye contact,no facial expression,routine,focus on details,literal",Autism
"sensitive to sound,focus on details,monotone,literal,eye contact",Autism
"intrusive thoughts,organizing,cleaning",OCD
"social skills,routine,delayed speech",Autism
"organizing,perfectionism,intrusive thoughts,checking",OCD
"cleaning,doubt",OCD
"ritual,compulsion,doubt",OCD
"fear,irritability,sweating,worry",Anxiety
"counting,repetitive,checking,ritual",OCD
"worry,avoidance,irritability,nervous,trembling",Anxiety
"trembling,nervous,worry,restless",Anxiety
"worry,fear,restless,panic,sweating",Anxiety
"irritability,sweating,avoidance",Anxiety
"no facial expression,social skills,sensitive to sound",Autism
"ritual,organizing",OCD
"focus on details,routine,delayed speech,eye contact,social skills",Autism
"nervous,worry,restless,trembling",Anxiety
"sweating,trembling",Anxiety
"eye contact,monotone",Autism
"perfectionism,cleaning,repetitive",OCD
"doubt,intrusive thoughts",OCD
"no facial expression,sensitive to sound,repetitive behavior,routine,monotone",Autism
"nervous,avoidance,overthinking,worry",Anxiety
"trembling,worry,panic,overthinking,irritability",Anxiety
"eye contact,routine",Autism
"perfectionism,repetitive,organizing,cleaning,checking",OCD
"panic,trembling,nervous,sweating",Anxiety
"delayed speech,no facial expression",Autism
"nervous,worry",Anxiety
"fear,sweating,restless,nervous",Anxiety
"sweating,worry",Anxiety
"restless,irritability,avoidance",Anxiety
"worry,overthinking,trembling,restless",Anxiety
"doubt,perfectionism,counting,compulsion,cleaning",OCD
"repetitive behavior,sensitive to sound,delayed speech",Autism
"repetitive behavior,literal,sensitive to sound",Autism
"irritability,panic,overthinking,worry",Anxiety
"cleaning,perfectionism,compulsion,organizing,ritual",OCD
"sweating,fear,avoidance,trembling",Anxiety
"overthinking,panic,irritability,nervous,avoidance",Anxiety
"counting,cleaning,intrusive thoughts,compulsion",OCD
"monotone,routine",Autism
"delayed speech,social skills,monotone,sensitive to sound,no facial expression",Autism
"no facial expression,monotone,eye contact",Autism
"avoidance,irritability,worry,restless",Anxiety
"ritual,perfectionism,checking,organizing",OCD
"worry,overthinking,nervous,sweating",Anxiety
"counting,cleaning,checking,ritual",OCD
"delayed speech,monotone,no facial expression,social skills,sensitive to sound",Autism
"monotone,social skills,focus on details,repetitive behavior,no facial expression",Autism
"intrusive thoughts,counting,organizing,cleaning",OCD
"sensitive to sound,social skills",Autism
"delayed speech,eye contact",Autism
"sensitive to sound,repetitive behavior,routine,literal",Autism
"trembling,panic,avoidance,overthinking,restless",Anxiety
"intrusive thoughts,organizing,perfectionism",OCD
"no facial expression,social skills,sensitive to sound",Autism
"irritability,panic,worry",Anxiety
"routine,social skills,focus on details",Autism
"counting,ritual,compulsion,cleaning",OCD
"no facial expression,repetitive behavior",Autism
"nervous,irritability",Anxiety
"overthinking,panic,worry",Anxiety
"avoidance,overthinking",Anxiety
"cleaning,checking",OCD
"trembling,fear,overthinking,avoidance,panic",Anxiety
"repetitive,perfectionism,organizing,cleaning,doubt",OCD
"delayed speech,eye contact,focus on details,social skills,routine",Autism
"routine,focus on details,delayed speech",Autism
"perfectionism,compulsion",OCD
"organizing,repetitive,doubt",OCD
"panic,overthinking,restless,avoidance,worry",Anxiety
"avoidance,fear,trembling",Anxiety
"repetitive,counting,intrusive thoughts,ritual",OCD
"checking,perfectionism,repetitive",OCD
"no facial expression,routine,monotone",Autism
"trembling,panic,overthinking,worry,restless",Anxiety
"counting,compulsion,cleaning,organizing,checking",OCD
"restless,irritability,fear,avoidance",Anxiety
"no facial expression,sensitive to sound,repetitive behavior,social skills,literal",Autism
"cleaning,checking,organizing,repetitive",OCD
"eye contact,literal,repetitive behavior,routine,sensitive to sound",Autism
"trembling,irritability,restless,nervous,worry",Anxiety
"restless,trembling,irritability,nervous,worry",Anxiety
"delayed speech,literal",Autism
"focus on details,literal,no facial expression,social skills,repetitive behavior",Autism
"ritual,cleaning,compulsion,doubt",OCD
"panic,trembling,sweating,worry,irritability",Anxiety
"restless,sweating,trembling,fear",Anxiety
"sweating,fear,panic",Anxiety
